"collection_schema","uid","name","desc","date","colors","emoji"
"collection","12","Nederlands","","1749381055","0",
"packs_schema","uid","name","desc","date","colors","collection","emoji"
"packs","70","top 0010","","1749381077","0","12",
"packs","71","top 0025","","1749381077","0","12",
"packs","72","top 0050","","1749381077","0","12",
"packs","73","top 0100","","1749381077","0","12",
"packs","74","top 0250","","1749381077","0","12",
"packs","75","top 0500","","1749381077","0","12",
"packs","76","top 1000","","1749381077","0","12",
"packs","77","top 2500","","1749381077","0","12",
"packs","78","top 5000","","1749381077","0","12",
"cards","8155","bij",".","71","0","1749381835","**bij** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/bij/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=bij)","0"
"cards","8156","dan",".","71","0","1749381835","**dan** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/dan/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=dan)","0"
"cards","8157","die",".","71","0","1749381835","**die** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/die/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=die)","0"
"cards","8158","er",".","71","0","1749381835","**er** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/er/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=er)","0"
"cards","8159","maar",".","71","0","1749381835","**maar** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/maar/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=maar)","0"
"cards","8160","met",".","71","0","1749381835","**met** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/met/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=met)","0"
"cards","8161","niet",".","71","0","1749381835","**niet** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/niet/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=niet)","0"
"cards","8162","nog",".","71","0","1749381835","**nog** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/nog/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=nog)","0"
"cards","8163","of",".","71","0","1749381835","**of** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/of/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=of)","0"
"cards","8164","om",".","71","0","1749381835","**om** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/om/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=om)","0"
"cards","8165","ook",".","71","0","1749381835","**ook** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/ook/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=ook)","0"
"cards","8166","uit",".","71","0","1749381835","**uit** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/uit/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=uit)","0"
"cards","8167","voor",".","71","0","1749381835","**voor** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/voor/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=voor)","0"
"cards","8168","aandeel",".","74","0","1749381835","**aandeel** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/aandeel/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=aandeel)","0"
"cards","8169","achter",".","74","0","1749381835","**achter** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/achter/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=achter)","0"
"cards","8170","achter",".","74","0","1749381835","**achter** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/achter/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=achter)","0"
"cards","8171","allemaal",".","74","0","1749381835","**allemaal** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/allemaal/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=allemaal)","0"
"cards","8172","alles",".","74","0","1749381835","**alles** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/alles/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=alles)","0"
"cards","8173","anders",".","74","0","1749381835","**anders** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/anders/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=anders)","0"
"cards","8174","bank",".","74","0","1749381835","**bank** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/bank/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=bank)","0"
"cards","8175","basis",".","74","0","1749381835","**basis** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/basis/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=basis)","0"
"cards","8176","bedrijf",".","74","0","1749381835","**bedrijf** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/bedrijf/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=bedrijf)","0"
"cards","8177","bedrijven",".","74","0","1749381835","**bedrijven** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/bedrijven/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=bedrijven)","0"
"cards","8178","begin",".","74","0","1749381835","**begin** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/begin/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=begin)","0"
"cards","8179","bestaan",".","74","0","1749381835","**bestaan** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/bestaan/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=bestaan)","0"
"cards","8180","beurs",".","74","0","1749381835","**beurs** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/beurs/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=beurs)","0"
"cards","8181","bijna",".","74","0","1749381835","**bijna** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/bijna/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=bijna)","0"
"cards","8182","bijvoorbeeld",".","74","0","1749381835","**bijvoorbeeld** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/bijvoorbeeld/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=bijvoorbeeld)","0"
"cards","8183","binnen",".","74","0","1749381835","**binnen** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/binnen/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=binnen)","0"
"cards","8184","blijken",".","74","0","1749381835","**blijken** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/blijken/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=blijken)","0"
